pi_institution,total_ace,total_cpu_hours,total_node_hours,job_count,active_pi_count,active_allocation_count,active_person_count
  - Utah Tech University,1284747.3953,191147.3733,5923.7833,7612.0,1.0,3.0,15.0
3ds - Dassault Systems,775028.2613,775028.1606,6263.9267,1743.0,1.0,1.0,1.0
AMD - Advanced Micro Devices,42877.9088,32190.84,670.6425,41.0,1.0,1.0,1.0
AMNH - American Museum of Natural History,4207831.4305,6903566.4019,112684.96,3799.0,3.0,4.0,8.0
ANL - Argonne National Laboratory,2605427.1633,1194403.1419,23753.3833,84586.0,10.0,14.0,41.0
APUS - American Public University System,1149.5415,1150.2056,1150.2056,80.0,1.0,1.0,1.0
ARKA Group L.P.,128933.6827,128933.4431,117311.9906,5475.0,1.0,1.0,1.0
ATTMOS Inc.,1361695.1775,380772.6369,92176.5972,41181.0,1.0,1.0,4.0
Abilene Christian U - Abilene Christian University,13343.3152,106838.7794,1156.0708,772.0,1.0,1.0,1.0
Adelphi U - Adelphi University,16959.8852,16959.8508,217.7464,175.0,1.0,1.0,2.0
Aeolus Labs,333787.2606,333787.1867,3421.5756,1214.0,2.0,2.0,4.0
"Aeolus Labs, Inc.",754184.6653,754186.9892,11833.3192,6669.0,1.0,1.0,3.0
Air Liquide - Air Liquide (US),1953900.9296,302580.29,7126.7394,2291.0,1.0,2.0,6.0
Alabama A&M - Alabama A&M University,109.1771,5.6611,0.5819,3.0,1.0,1.0,1.0
Alamgir Research Inc,7660376.817,7660385.7622,488048.5742,28880.0,1.0,4.0,1.0
Albany State U - Albany State University,1203.6933,1003.065,22.2369,30.0,1.0,1.0,6.0
Albright College - Albright College,19168.7566,19086.44,1590.5367,546.0,1.0,1.0,1.0
Alfred State - Alfred State College,4925.3229,325.0778,20.51,36.0,1.0,1.0,1.0
Alfred U - Alfred University,270518.4353,11257.1786,5622.4408,11466.0,4.0,5.0,8.0
Allegheny College - Allegheny College,232027.9493,22678.88,2227.3192,322.0,2.0,2.0,4.0
Allen Institute - Allen Institute for Brain Science,5285469.9607,3276779.1306,95674.5372,77369.0,1.0,2.0,2.0
Alvin Community College,0.2495,2.1022,1.0992,2.0,1.0,1.0,1.0
American U - American University,35508.8901,21461.5867,372.0314,371.0,1.0,1.0,2.0
Ames Lab - Ames Laboratory,3155.7801,3155.7442,24.9825,49.0,1.0,2.0,1.0
Amherst College - Amherst College,373766.6729,2375590.2844,95584.0497,523.0,1.0,1.0,1.0
Apollodyne,121757.5644,121758.1556,7834.5692,775.0,1.0,1.0,1.0
Aquinas College,7381.3713,380.1028,39.9606,130.0,1.0,1.0,1.0
Arizona State U - Arizona State University,93361046.4783,82393838.4806,1148673.7464,358954.0,34.0,52.0,119.0
Arkansas State U - Arkansas State University,450251.5441,133795.8019,4192.2286,4345.0,2.0,3.0,2.0
"AscendArc, Inc.",175.6816,121.5333,2.5319,4.0,1.0,1.0,1.0
Atrium Health - Atrium Health,374299.9563,2870891.8539,246970.8194,7064.0,1.0,1.0,1.0
Auburn U - Auburn University,52447873.8536,39241291.0564,585038.2119,123662.0,15.0,23.0,49.0
Augsburg University,537016.1582,537015.9267,11514.9689,1514.0,1.0,1.0,3.0
Augusta U - Augusta University,825199.451,825201.1486,6974.2403,5997.0,3.0,5.0,21.0
Augustana U - Augustana University,40.1772,40.2844,0.3147,6.0,1.0,1.0,1.0
Austin Peay State U - Austin Peay State University,1884339.0105,2455054.4631,219260.5114,11377.0,5.0,7.0,31.0
Aventusoft LLC,107761.3076,22412.8578,808.1578,166.0,2.0,2.0,2.0
"BRI City of Hope - Beckman Research Institute, City of Hope",58854.7009,8679.3717,868.0317,280.0,1.0,1.0,1.0
BYU - Brigham Young University,42686397.5295,30087460.8131,571931.7672,15396.0,3.0,4.0,20.0
Ball State U - Ball State University,203752.0744,169793.7867,1330.2358,240.0,1.0,1.0,11.0
Barnard College - Barnard College,6.3635,0.5847,0.1053,3.0,1.0,1.0,2.0
Bates College - Bates College,933970.1791,223779.2986,3501.3094,84.0,1.0,1.0,3.0
