Time,Maximize,Research,Discover,Accelerate,Explore,Startup,XSEDE Rapid Response,Discretionary,Educational,Campus Champions,Staff Allocations,SDSC Discretionary,XSEDE2 Staff Allocations
2022-07-01,0.0,558201521.7418,86409.8821,0.0,128380.685,4721696.0509,5603912.5335,915519.6207,1488085.4701,2488863.3103,87179.612,0.0,527.2943
2022-10-01,14469.524,554011344.1887,6070502.7138,159923.2641,4767946.9711,4303475.5755,8550322.1661,1087109.1147,1806814.5237,1423481.0656,58472.0195,0.0,0.0
2023-01-01,111872728.9288,416058708.4659,19624101.6907,13242535.6541,7737224.1562,5092337.8876,34929.9395,1056168.819,1549156.7783,775060.8273,65939.2351,0.0,0.0
2023-04-01,194204357.8514,299696994.4476,36811970.3038,39141191.9646,15350491.1099,1566527.7934,18563.7282,147691.559,641294.903,262137.0017,290344.8749,0.0,0.0
2023-07-01,282850970.9901,206536359.723,53083987.0235,41298903.737,19624148.98,312369.8297,58304.0739,467064.82,106.9312,74444.0701,488882.8997,0.0,0.0
2023-10-01,388682575.457,104683345.8107,68234083.848,52540400.2745,21381091.1473,236979.1004,433080.4167,297269.6987,0.0,0.0,103495.5393,0.0,0.0
2024-01-01,360651410.8179,37559510.1379,73152520.1822,68839573.523,29356239.441,0.0,1106044.5443,598819.3899,0.0,0.0,48015.2224,0.0,0.0
2024-04-01,511307652.0057,20899172.3751,93894782.9559,98456621.8729,34312246.6779,0.0,0.0,723819.8266,0.0,0.0,39535.8413,0.0,0.0
2024-07-01,540713564.165,13487210.9302,96873923.1393,86337809.7199,28591452.118,0.0,0.0,318695.739,0.0,0.0,203379.0006,22541.8928,0.0
2024-10-01,573557842.6602,5581493.543,112453505.646,94938605.2779,33443412.1904,0.0,0.0,246954.3952,0.0,0.0,53326.2212,91380.1235,0.0
2025-01-01,674466865.0571,5390663.4225,130927624.1812,99653084.16,38094808.7841,0.0,0.0,203642.6477,0.0,0.0,187129.0785,57133.0713,0.0
2025-04-01,643689287.0422,5318970.1167,155009997.6293,116276486.2437,42213187.0984,0.0,0.0,236338.6362,0.0,0.0,423134.8181,31118.9719,0.0
2025-07-01,648781271.8198,2721249.2358,168868652.5672,120676518.9344,36146795.5581,39.9276,0.0,522590.0555,0.0,0.0,268989.9557,0.0,0.0
2025-10-01,588925566.6604,1355149.9158,179727353.0476,98822345.9979,39680327.157,0.0,0.0,498.7211,0.0,0.0,391279.431,0.0,0.0
2026-01-01,610192475.1388,1085541.8304,216428873.916,115298795.6828,46265042.3607,0.0,0.0,0.0,0.0,0.0,253231.6426,0.0,0.0
2026-04-01,658363638.6549,625071.8073,237799655.2499,135339670.0979,58327154.5324,0.0,0.0,367.0847,0.0,0.0,37982.7812,0.0,0.0
2026-07-01,518179052.8417,604311.8098,214999965.812,101452039.8029,50898210.2439,0.0,0.0,0.0,0.0,0.0,91747.0834,0.0,0.0
