Time,1,2 - 4,5 - 8,9 - 64,65 - 256,257 - 512,513 - 1024,1k - 8k,8k - 32k,32k - 131k,> 131k
2022-07-01,17830524.674,16775718.5102,27835275.8126,114734347.7447,177650240.1897,45518157.8389,73546151.3507,92347547.57,7373268.5757,166002.3707,0.0
2022-10-01,24660491.4842,13635729.2408,30131327.5937,109313525.7346,166502209.3705,45004505.7084,53848059.7667,130681955.7053,8444284.1101,18010.6058,13761.8067
2023-01-01,21348400.2745,11497287.0422,24406610.768,105235818.8284,139347864.2461,61548179.4248,46399501.2789,138857880.841,23657868.7379,4021792.6259,787688.3149
2023-04-01,33374019.9638,12490917.4621,21164036.8083,113365603.843,144232996.5687,49787128.0804,59288242.5604,134932246.6779,8387753.946,11108619.6269,0.0
2023-07-01,22285098.7585,13761775.2823,18056802.4206,136544181.4212,148859895.9386,62397981.4087,57738286.4808,133744856.6972,8169896.3129,1286326.2836,1950442.0737
2023-10-01,24315464.9697,9687002.1835,19635383.3676,136109075.301,161830887.1421,64593103.4999,59781955.8301,133938536.278,5314687.5039,21386225.2168,0.0
2024-01-01,35557414.4363,16102285.3578,20012224.9672,136283190.9664,164871227.6499,64156143.7395,46430280.1173,83052385.1769,4846980.8472,0.0,0.0
2024-04-01,26566829.6213,14899470.0855,28363171.876,178370663.7969,197254041.3001,71924344.6254,79493495.0402,152311971.6763,10449843.5336,0.0,0.0
2024-07-01,33384294.5911,20209290.6607,32076969.4928,206135459.854,188172567.4715,63657463.0981,68214399.7754,149036576.3304,5661555.4308,0.0,0.0
2024-10-01,44853012.5398,35325465.4688,39178026.3273,216197737.4758,242202604.5293,60477552.1867,61953049.0985,101146870.6719,19032201.7593,0.0,0.0
2025-01-01,45956545.2617,50248893.0064,54493460.7274,284105965.3129,224339860.3781,64690559.3612,68598302.7014,142342392.4138,14032047.1645,172924.0751,0.0
2025-04-01,58671537.5881,61213167.3841,53709346.9337,284703917.6493,230282144.3633,53466354.8568,65878204.7539,124506463.9092,30767365.525,0.0,0.0
2025-07-01,59387844.7813,68672670.0356,60972817.5182,281274477.1352,213914114.4176,79257691.559,58877295.9012,145022887.3916,10383004.8038,0.0,0.0
2025-10-01,49182189.2819,71855369.2682,49213971.302,237270023.2079,217225050.9701,69864584.1912,74047960.9458,135516063.7594,4469495.0402,244542.5167,0.0
2026-01-01,52702417.3685,64309868.3636,63229714.2679,252728725.0608,217647713.1449,77665031.6302,93587053.9647,149296650.1965,18051910.4124,0.0,0.0
2026-04-01,39069610.8304,30645116.8507,59409401.7094,265858730.3013,264613079.2938,101671238.5052,119734013.4756,192223029.8833,17246202.1336,23117.225,0.0
2026-07-01,25066471.6451,20053928.5046,46724388.1714,222366877.5345,220362367.8333,86743297.2737,107474633.7264,148563834.1756,8869528.7292,0.0,0.0
