Time,High-performance computing,Data-intensive computing
2022-07-01,573777234.6372,0.0
2022-10-01,582253861.1267,0.0
2023-01-01,577108892.3826,0.0
2023-04-01,588131565.5375,0.0
2023-07-01,604795543.0782,0.0
2023-10-01,636582940.0462,9381.2465
2024-01-01,571261046.3535,51086.905
2024-04-01,759633831.5553,0.0
2024-07-01,766548574.7083,1.9964
2024-10-01,820366507.2057,12.8517
2025-01-01,948978805.7895,2144.6129
2025-04-01,963191123.4637,7397.0928
2025-07-01,977975082.9122,11025.1419
2025-10-01,908850113.2947,52407.6362
2026-01-01,989462526.0465,61434.5249
2026-04-01,1090474115.5406,19424.6678
2026-07-01,886223552.4362,1775.1575
