Time,Discover,Accelerate,Maximize,Research,Explore,XSEDE Rapid Response,Startup,Educational,Campus Champions,SDSC Discretionary
2022-07-01,0.0,0.0,0.0,15992947.0335,5.1157,114238.9419,812771.4767,311648.1378,128106.3073,0.0
2022-10-01,351155.6554,46249.5477,0.0,18317665.9804,775461.6008,0.0,453173.498,417762.181,61404.5792,0.0
2023-01-01,2726982.4693,3672148.98,3487357.9138,17003293.1562,1370563.3539,0.0,376277.9961,56325.2854,248230.5821,0.0
2023-04-01,6826312.6833,4125081.2902,2034085.9692,13128056.273,2086316.0522,0.0,315873.3545,361396.2194,98453.6777,0.0
2023-07-01,8405963.4413,3577626.4271,358355.7302,8795719.7579,2375986.6492,0.0,67957.3273,239106.4945,4012.4774,0.0
2023-10-01,6367991.0163,3785649.2607,1902436.958,2748726.8077,2516896.6249,0.0,11946.7216,0.0,0.0,0.0
2024-01-01,8084517.5619,6221312.7456,1099698.1721,1692754.8818,3645271.0712,1651954.0832,0.0,0.0,0.0,0.0
2024-04-01,12009976.9168,6223499.5321,11470617.381,1920845.8419,4586654.4388,240628.1115,0.0,0.0,0.0,0.0
2024-07-01,11716813.775,12759418.0548,9830280.9907,117990.7667,5069932.9964,40480.8784,0.0,0.0,0.0,23154.1581
2024-10-01,12483765.6747,11243771.7886,10230176.4302,940165.9492,4021195.2087,188718.0735,0.0,0.0,0.0,1374.883
2025-01-01,13411860.6276,10293923.1393,6100322.2908,93075.1762,3602832.3663,211108.8652,0.0,0.0,0.0,1082.6627
2025-04-01,16259983.0308,12889201.9465,13635079.2938,7230.894,5227581.8828,494304.9473,0.0,0.0,0.0,160565.3503
2025-07-01,15038775.2199,15403735.6042,9587582.3819,725935.1176,3910202.8823,0.0,0.0,0.0,0.0,62528.1677
2025-10-01,18924059.8914,10863033.377,12913644.8936,0.0,6397170.753,0.0,0.0,0.0,0.0,0.0
2026-01-01,21704137.8751,11060308.441,8338677.2724,0.0,4672130.763,0.0,0.0,0.0,0.0,0.0
2026-04-01,20003911.9097,10912952.6483,20039940.982,0.0,5761458.3567,0.0,0.0,0.0,0.0,0.0
2026-07-01,16301989.2694,12654069.8734,18657744.5879,0.0,5888126.2711,0.0,0.0,0.0,0.0,0.0
