Time,1,2 - 4,5 - 8,9 - 64,65 - 256,257 - 512,513 - 1024,1k - 8k,8k - 32k
2022-07-01,1035858.1321,378099.0704,947042.1112,6363176.3678,4240564.7264,391894.9404,1894250.0468,1933408.572,175423.0457
2022-10-01,1547800.8609,68603.2816,761714.767,5866199.7629,4381202.5703,2469503.1505,1594972.2378,2479201.5722,1253674.8394
2023-01-01,1038240.9383,203599.8503,409101.6283,7658340.8822,4903762.0563,2788381.808,6005418.6786,5926420.7374,7913.1574
2023-04-01,1777925.8843,344704.3484,999030.5072,7281162.3932,8087176.7422,2121497.4109,2434953.0226,5916255.0377,12870.1728
2023-07-01,2548919.708,269898.1845,682161.3326,9477292.9066,7577309.7511,673916.7758,283147.2955,2312082.3507,0.0
2023-10-01,1751480.6912,970088.4647,815867.7397,5635661.6133,5645466.9661,541098.509,201930.2514,1772053.1537,0.0
2024-01-01,2220279.1191,95800.2371,561608.4597,7593237.6318,6636157.0903,360624.3683,2912965.5,2014836.1096,0.0
2024-04-01,1591334.5811,542652.4424,864195.2711,8255015.7839,16423065.5687,3045854.5137,1536305.9455,4193798.1159,0.0
2024-07-01,2671338.8234,784488.1153,1729571.5266,14027837.9188,11331269.3243,2079843.6584,1479370.7655,5408710.9614,45640.5265
2024-10-01,2042507.3305,952225.4663,1381526.4832,14339274.4401,10687939.4847,1693000.6863,879318.3605,5967495.9137,1165879.8428
2025-01-01,1540328.28,1376459.1678,1713135.5668,8287625.1794,8089971.9259,1578410.2564,4376099.8191,5252548.6306,1499626.3023
2025-04-01,2737372.6371,3382968.6194,3333371.7637,8728112.9203,12048567.5962,3446684.2598,5113912.5335,3930424.9797,5952532.0357
2025-07-01,2978876.9106,2462144.2386,6560280.8659,11556863.6846,8125145.5487,3513177.1165,4616508.4534,2718899.9938,2196862.5616
2025-10-01,3276472.7681,3381043.9828,6564945.9105,16748221.7231,11429807.2244,2053768.7941,2763847.5264,2748866.18,130934.8057
2026-01-01,3535243.1218,3440722.8149,4215621.3114,13557543.3277,14532461.2889,1899151.9122,2090356.3541,2503835.6728,318.5476
2026-04-01,2137858.0074,2008312.6833,4141418.6786,12083358.4129,18874267.7647,7845478.071,4056978.4765,5570591.8024,0.0
2026-07-01,1597297.7728,1059066.9412,4137179.4872,12764222.4718,14970164.7015,2714943.9142,3944411.1298,9860104.4357,2454539.1478
