Time,High-performance computing,Data-intensive computing
2022-07-01,17359717.0129,0.0
2022-10-01,20422873.0426,0.0
2023-01-01,28941179.7367,0.0
2023-04-01,28975575.5194,0.0
2023-07-01,23824728.3049,0.0
2023-10-01,17333645.767,1.6221
2024-01-01,22393207.187,2301.3288
2024-04-01,36451456.3603,765.8619
2024-07-01,39555192.9628,2878.6574
2024-10-01,39109168.008,0.0
2025-01-01,33712709.5889,1495.5393
2025-04-01,48673947.3454,0.0
2025-07-01,44728759.3736,0.0
2025-10-01,49074408.26,23500.6551
2026-01-01,45762954.5199,12299.8316
2026-04-01,56685490.1741,32773.7226
2026-07-01,53468753.2597,33176.7422
