value,amount,group,dimension,metric
Expanse,161223668.2263,nonR1,resource,total_ace
Bridges 2 RM,107043057.3336,nonR1,resource,total_ace
TACC STAMPEDE3,102823747.0834,nonR1,resource,total_ace
Purdue Anvil CPU,59874226.3398,nonR1,resource,total_ace
NCSA DELTA GPU,42667586.749,nonR1,resource,total_ace
Expanse GPU,26105544.3259,nonR1,resource,total_ace
Purdue Anvil GPU,22364138.1246,nonR1,resource,total_ace
STAMPEDE2 TACC,20784406.5132,nonR1,resource,total_ace
Bridges 2 GPU,17469077.1726,nonR1,resource,total_ace
NCSA DeltaAI,13012098.4466,nonR1,resource,total_ace
Bridges 2 EM,6739822.4468,nonR1,resource,total_ace
NCSA DELTA CPU,6537485.1831,nonR1,resource,total_ace
Texas A&M U ACES,2529734.2317,nonR1,resource,total_ace
Purdue Anvil AI,2346022.7088,nonR1,resource,total_ace
UD DARWIN,1278105.4339,nonR1,resource,total_ace
Texas A&M U FASTER,941405.7022,nonR1,resource,total_ace
JHU Rockfish RM,255367.7709,nonR1,resource,total_ace
KyRIC,109193.7114,nonR1,resource,total_ace
UD DARWIN GPU,4460.4155,nonR1,resource,total_ace
Bridges2 GPU AI,3722.2534,nonR1,resource,total_ace
IACS Ookami,836.3591,nonR1,resource,total_ace
Bridges 2 RM,1715521.0,nonR1,resource,job_count
NCSA DELTA CPU,1527585.0,nonR1,resource,job_count
Expanse,1255395.0,nonR1,resource,job_count
Purdue Anvil CPU,1204667.0,nonR1,resource,job_count
TACC STAMPEDE3,203024.0,nonR1,resource,job_count
Texas A&M U ACES,196995.0,nonR1,resource,job_count
NCSA DELTA GPU,163076.0,nonR1,resource,job_count
Purdue Anvil GPU,85147.0,nonR1,resource,job_count
NCSA DeltaAI,54082.0,nonR1,resource,job_count
Bridges 2 GPU,47926.0,nonR1,resource,job_count
Expanse GPU,46419.0,nonR1,resource,job_count
STAMPEDE2 TACC,42127.0,nonR1,resource,job_count
Texas A&M U FASTER,23262.0,nonR1,resource,job_count
IACS Ookami,12198.0,nonR1,resource,job_count
Bridges 2 EM,5979.0,nonR1,resource,job_count
UD DARWIN,5075.0,nonR1,resource,job_count
Purdue Anvil AI,3221.0,nonR1,resource,job_count
JHU Rockfish RM,1363.0,nonR1,resource,job_count
KyRIC,641.0,nonR1,resource,job_count
UD DARWIN GPU,205.0,nonR1,resource,job_count
Bridges2 GPU AI,76.0,nonR1,resource,job_count
Bridges 2 RM,197.0,nonR1,resource,active_pi_count
Expanse,191.0,nonR1,resource,active_pi_count
Purdue Anvil CPU,111.0,nonR1,resource,active_pi_count
NCSA DELTA GPU,104.0,nonR1,resource,active_pi_count
Bridges 2 GPU,92.0,nonR1,resource,active_pi_count
TACC STAMPEDE3,88.0,nonR1,resource,active_pi_count
Expanse GPU,77.0,nonR1,resource,active_pi_count
Texas A&M U ACES,68.0,nonR1,resource,active_pi_count
NCSA DELTA CPU,64.0,nonR1,resource,active_pi_count
STAMPEDE2 TACC,53.0,nonR1,resource,active_pi_count
Purdue Anvil GPU,44.0,nonR1,resource,active_pi_count
NCSA DeltaAI,30.0,nonR1,resource,active_pi_count
Bridges 2 EM,28.0,nonR1,resource,active_pi_count
Texas A&M U FASTER,16.0,nonR1,resource,active_pi_count
Purdue Anvil AI,13.0,nonR1,resource,active_pi_count
UD DARWIN,7.0,nonR1,resource,active_pi_count
KyRIC,6.0,nonR1,resource,active_pi_count
IACS Ookami,5.0,nonR1,resource,active_pi_count
UD DARWIN GPU,5.0,nonR1,resource,active_pi_count
JHU Rockfish RM,4.0,nonR1,resource,active_pi_count
Bridges2 GPU AI,2.0,nonR1,resource,active_pi_count
Expanse,1352.0,nonR1,resource,active_person_count
Bridges 2 RM,1125.0,nonR1,resource,active_person_count
NCSA DELTA GPU,666.0,nonR1,resource,active_person_count
Purdue Anvil CPU,586.0,nonR1,resource,active_person_count
Expanse GPU,404.0,nonR1,resource,active_person_count
NCSA DELTA CPU,322.0,nonR1,resource,active_person_count
Bridges 2 GPU,281.0,nonR1,resource,active_person_count
TACC STAMPEDE3,245.0,nonR1,resource,active_person_count
Texas A&M U ACES,224.0,nonR1,resource,active_person_count
STAMPEDE2 TACC,199.0,nonR1,resource,active_person_count
Purdue Anvil GPU,152.0,nonR1,resource,active_person_count
NCSA DeltaAI,138.0,nonR1,resource,active_person_count
Texas A&M U FASTER,132.0,nonR1,resource,active_person_count
Purdue Anvil AI,71.0,nonR1,resource,active_person_count
Bridges 2 EM,36.0,nonR1,resource,active_person_count
IACS Ookami,23.0,nonR1,resource,active_person_count
UD DARWIN,14.0,nonR1,resource,active_person_count
JHU Rockfish RM,11.0,nonR1,resource,active_person_count
KyRIC,6.0,nonR1,resource,active_person_count
UD DARWIN GPU,5.0,nonR1,resource,active_person_count
Bridges2 GPU AI,3.0,nonR1,resource,active_person_count
Expanse,270.0,nonR1,resource,active_allocation_count
Bridges 2 RM,258.0,nonR1,resource,active_allocation_count
Purdue Anvil CPU,139.0,nonR1,resource,active_allocation_count
NCSA DELTA GPU,119.0,nonR1,resource,active_allocation_count
Bridges 2 GPU,113.0,nonR1,resource,active_allocation_count
TACC STAMPEDE3,107.0,nonR1,resource,active_allocation_count
Expanse GPU,100.0,nonR1,resource,active_allocation_count
NCSA DELTA CPU,75.0,nonR1,resource,active_allocation_count
Texas A&M U ACES,75.0,nonR1,resource,active_allocation_count
Purdue Anvil GPU,60.0,nonR1,resource,active_allocation_count
STAMPEDE2 TACC,59.0,nonR1,resource,active_allocation_count
NCSA DeltaAI,36.0,nonR1,resource,active_allocation_count
Bridges 2 EM,31.0,nonR1,resource,active_allocation_count
Texas A&M U FASTER,19.0,nonR1,resource,active_allocation_count
Purdue Anvil AI,16.0,nonR1,resource,active_allocation_count
UD DARWIN,7.0,nonR1,resource,active_allocation_count
KyRIC,6.0,nonR1,resource,active_allocation_count
IACS Ookami,5.0,nonR1,resource,active_allocation_count
UD DARWIN GPU,5.0,nonR1,resource,active_allocation_count
JHU Rockfish RM,4.0,nonR1,resource,active_allocation_count
Bridges2 GPU AI,2.0,nonR1,resource,active_allocation_count
High-performance computing,594004512.8205,nonR1,resource_type,total_ace
Data-intensive computing,109193.7114,nonR1,resource_type,total_ace
High-performance computing,6593343.0,nonR1,resource_type,job_count
Data-intensive computing,641.0,nonR1,resource_type,job_count
High-performance computing,753.0,nonR1,resource_type,active_pi_count
Data-intensive computing,6.0,nonR1,resource_type,active_pi_count
High-performance computing,4736.0,nonR1,resource_type,active_person_count
Data-intensive computing,6.0,nonR1,resource_type,active_person_count
High-performance computing,1019.0,nonR1,resource_type,active_allocation_count
Data-intensive computing,6.0,nonR1,resource_type,active_allocation_count
Discover,190618174.5586,nonR1,board_type,total_ace
Accelerate,135731978.5389,nonR1,board_type,total_ace
Maximize,129685999.1266,nonR1,board_type,total_ace
Research,70089639.7779,nonR1,board_type,total_ace
Explore,61907752.9478,nonR1,board_type,total_ace
XSEDE Rapid Response,2827195.8326,nonR1,board_type,total_ace
Startup,1412291.7213,nonR1,board_type,total_ace
Educational,1129998.3779,nonR1,board_type,total_ace
Campus Champions,461971.0525,nonR1,board_type,total_ace
SDSC Discretionary,248704.5979,nonR1,board_type,total_ace
