piInstitution,projects,cohort,match_method,ever_used
University of Illinois Urbana-Champaign,619,R1,xdmod,True
Carnegie Mellon University,489,R1,xdmod,True
"University of California, San Diego",261,R1,xdmod,True
Purdue University,218,R1,xdmod,True
University of Michigan,145,R1,xdmod,True
Cornell University,124,R1,xdmod,True
Texas A&M University,115,R1,xdmod,True
"University of California, Los Angeles",109,R1,xdmod,True
"University of California, Berkeley",107,R1,xdmod,True
Georgia Institute of Technology,98,R1,xdmod,True
Stanford University,95,R1,xdmod,True
University of Central Florida,93,R1,xdmod,True
Columbia University in the City of New York,92,R1,xdmod,True
University of Illinois Chicago,90,R1,xdmod,True
Pennsylvania State University,85,R1,xdmod,True
University of Arizona,76,R1,xdmod,True
Massachusetts Institute of Technology,75,R1,xdmod,True
University of Texas at Austin,74,R1,xdmod,True
"University of Colorado, Boulder",71,R1,xdmod,True
University of Wisconsin-Madison,70,R1,xdmod,True
"University of California, Davis",69,R1,xdmod,True
"University of California, Santa Barbara",68,R1,xdmod,True
Indiana University,68,R1,xdmod,True
University of Washington,63,R1,xdmod,True
University of Pittsburgh,61,R1,xdmod,True
University of Pennsylvania,55,R1,xdmod,True
Northwestern University,53,R1,xdmod,True
University of Southern California,51,R1,xdmod,True
California Institute of Technology,51,R1,xdmod,True
"Indiana University, Bloomington",46,R1,xdmod,True
Arizona State University,45,R1,xdmod,True
Northeastern University,44,R1,xdmod,True
University of Minnesota,44,R1,xdmod,True
"University of Tennessee, Knoxville",43,R1,xdmod,True
Iowa State University,42,R1,xdmod,True
Rice University,42,R1,xdmod,True
North Carolina State University,41,R1,xdmod,True
University of Chicago,41,R1,xdmod,True
"Rutgers, the State University of New Jersey",40,R1,xdmod,True
Harvard University,37,R1,xdmod,True
Johns Hopkins University,36,R1,xdmod,True
"University of California, Riverside",36,R1,xdmod,True
University of Texas at Dallas,34,R1,xdmod,True
Georgetown University,33,R1,xdmod,True
"University of California, Irvine",33,R1,xdmod,True
University of South Carolina,31,R1,xdmod,True
Pittsburgh Supercomputing Center,30,R1,xdmod,True
University of Florida,30,R1,xdmod,True
Boston University,30,R1,xdmod,True
"University of Hawaii, Manoa",29,R1,xdmod,True
